카테고리,키워드,합계,상품수,경쟁도
검도,죽도고도형,20,54,2.7
검도,죽도정심,20,21,0.0
검도,진검가방,30,67,2.23
검도,진검거치대,20,1668,83.4
검도,참나무목검,20,1,0.05
검도,청류도복,20,5,0.25
검도,체조아대,20,115,5.75
검도,테트론하의,20,21,0.0
검도,품새도복여자,20,518,25.9
검도,해동검도도복,80,101,1.26
검도,호면끈,40,61,1.52
검도,훈련용칼,50,398,7.96
골프,PAT바지,1300,5552,4.27
골프,남자골프조끼,990,78814,79.61
골프,골프우드커버,3340,104242,31.21
골프,나이키골프반팔,1460,8373,5.73
골프,클리브랜드RTX4,2860,1912,0.67
골프,여성골프점퍼,1620,166238,102.62
골프,언더아머골프바지,2100,9590,4.57
골프,골프의류,6900,4541456,658.18
골프,헤지스골프웨어,2160,74150,34.33
골프,와이드앵글티셔츠,2070,15738,7.6
골프,아디다스골프스커트,1090,14546,13.34
골프,테일러메이드P790아이언,6740,949,0.14
골프,여자골프치마,740,194513,262.86
골프,마코골프,4290,21047,4.91
골프,아디다스골프반팔,590,25571,43.34
골프,아디다스골프벨트,1730,3481,2.01
골프,테일러메이드P770아이언,5030,515,0.1
골프,나이키에어맥스270G,3960,133,0.03
골프,아디다스벨트,1030,7441,7.22
골프,나이키보아골프화,2300,865,0.38
골프,밀라숀,3900,7602,1.95
골프,PXG스탠드백,3260,858,0.26
골프,마제스티드라이버,10850,9410,0.87
골프,골프오버니삭스,1340,13227,9.87
골프,야마하드라이버,7170,29822,4.16
골프,여성골프토트백,1170,12237,10.46
골프,여자골프장갑,3090,136523,44.18
골프,아디다스골프치마,840,14503,17.27
골프,유틸리티커버,2090,37503,17.94
골프,벙거지골프모자,370,17313,46.79
골프,퍼터연습기,5170,21800,4.22
골프,어뉴골프모자,2270,142,0.06
골프,PXG보스턴백,3570,270,0.08
골프,헤지스골프백,2070,12267,5.93
골프,아디다스골프자켓,810,26497,32.71
골프,테일러메이드M2드라이버,6780,3220,0.47
골프,아디다스남성골프바지,1090,19587,17.97
골프,젝시오여성우드,6500,2809,0.43
골프,620MB,3780,273,0.07
공구,엔진분무기,3460,15098,4.36
공구,줄톱,3830,24313,6.35
공구,캘리퍼스,3100,222636,71.82
공구,미니포크레인,8350,11790,1.41
공구,자동온도측정기,2950,9513,3.22
공구,실리콘오일,4290,54950,12.81
공구,타카총,8500,22393,2.63
공구,미니테이블쏘,1160,4266,3.68
공구,레이져거리측정기,2560,89181,34.84
공구,타일절단기,3850,47280,12.28
공구,예초기날,2860,48491,16.95
공구,타일페인트,4180,20888,5.0
공구,안전모햇빛가리개,880,3294,3.74
공구,보쉬10.8V배터리,1060,8001,7.55
공구,꽃가위,5400,43671,8.09
공구,미니콤프레샤,2610,12117,4.64
공구,현관문말발굽,7480,21529,2.88
공구,원형샌딩기,1580,9187,5.81
공구,디지털수평계,1440,49605,34.45
공구,전기릴선,5620,45200,8.04
공구,공구백팩,810,26210,32.36
공구,농기계,10780,55455,5.14
공구,휴대용공구가방,1980,86389,43.63
공구,소음측정기,5320,24897,4.68
공구,마끼다충전그라인더,2260,15118,6.69
공구,이보드,11220,202416,18.04
공구,계양그라인더,4170,37768,9.06
공구,보강토,9870,2088,0.21
공구,크린스킨블랙에이블,770,164,0.21
공구,빌트인콘센트,5360,6944,1.3
공구,고압분무기,6750,65383,9.69
공구,씨앗파종기,4980,5129,1.03
공구,여름작업복조끼,900,13265,14.74
공구,유공관,6640,172,0.03
공구,다이아프램펌프,2200,2446,1.11
공구,보강토블럭,9840,1520,0.15
공구,형광조끼,2260,59349,26.26
공구,크린스킨니트릴,1360,1974,1.45
공구,18650,6590,274396,41.64
관상어용품,수초어항세트,1070,8617,8.05
관상어용품,일제엘바진,1280,78,0.06
관상어용품,오란다금붕어,3650,85,0.02
관상어용품,모비딕축양장,40,117,2.92
관상어용품,수초비료,700,8633,12.33
관상어용품,이끼제거제,930,2687,2.89
관상어용품,네오A,1780,79551,44.69
관상어용품,피쉬렛여과기,580,1317,2.27
관상어용품,3자축양장,960,753,0.78
관상어용품,코코넛은신처,430,2311,5.37
관상어용품,필그린CF30,410,228,0.56
관상어용품,리턴모터,340,2175,6.4
관상어용품,박테리아활성제,1190,3266,2.74
관상어용품,베타픽스,940,381,0.41
관상어용품,여과재망,170,1439,8.46
관상어용품,미키마우스플래티,1830,35,0.02
관상어용품,하단섬프,740,193,0.26
관상어용품,소형여과기,350,7280,20.8
관상어용품,테트라렙토민,550,618,1.12
관상어용품,마스터소일,30,353,11.77
관상어용품,밀레펫여과기,140,63,0.45
관상어용품,베타수조,330,8262,25.04
관상어용품,페리하히터200,40,703,17.57
관상어용품,ADA어항,580,483,0.83
관상어용품,마리모어항,1580,9780,6.19
관상어용품,베타필름히터,820,185,0.23
관상어용품,봄대디,520,2948,5.67
관상어용품,앉은뱅이여과기,370,1114,3.01
관상어용품,유동성여과재,330,546,1.65
관상어용품,인베셉아트,130,157,1.21
관상어용품,잉어사료,480,5452,11.36
관상어용품,트윈스타600,160,191,1.19
관상어용품,DK-9000,330,1563,4.74
관상어용품,메디슨O,340,394,1.16
관상어용품,소라껍데기,790,907,1.15
관상어용품,수초핀셋,490,7076,14.44
관상어용품,영남브로와20A,220,758,3.45
관상어용품,파이시즈,1210,2285,1.89
관상어용품,다카스키브로와,500,179,0.36
관상어용품,달팽이제거제,1000,1168,1.17
관상어용품,뱀파이어크랩,990,32,0.03
관상어용품,터키옥,640,1004,1.57
관상어용품,블루새우,1130,1504,1.33
관상어용품,수초키우기,4410,8322,1.89
관상어용품,여과기/여과제,20,132036,6601.8
관상어용품,필그린걸이식여과기,820,3037,3.7
관상어용품,히카리사료,440,14719,33.45
관상어용품,어항여과제,170,23290,137.0
관상어용품,어항조명거치대,150,710,4.73
관상어용품,이지탱크,270,2933,10.86
관상어용품,어항뜰채,720,8645,12.01
관상어용품,자작이탄,1420,771,0.54
관상어용품,프리미엄모스,920,1055,1.15
관상어용품,그로비타,1430,69138,48.35
