카테고리,키워드,합계,상품수,경쟁도
DVD,디지캐럿TV,20,5,0.0
DVD,라디오스타DVD,20,100,5.0
DVD,레옹감독판DVD,20,14,0.7
DVD,리틀프린세스4집,20,32,1.6
DVD,리틀프린세스DVD,80,452,5.65
DVD,릴로와스티치DVD,20,9,0.45
DVD,마스크맨DVD,30,62,2.07
DVD,맥스앤루비1집,20,45,2.25
DVD,뮤지컬팬레터MD,30,7,0.23
DVD,뮬란DVD,30,380,12.67
DVD,미드프렌즈DVD,60,37,0.62
DVD,바람의검심DVD,40,35,0.88
DVD,바로쓰는영화속72가지영어회화네번째,20,83,0.0
DVD,바바파파1집,20,54,0.0
DVD,바바파파2집DVD,20,80,0.0
DVD,밥더빌더,380,393,1.03
DVD,백발백중고1영어YBM,20,2,0.1
DVD,백설공주영어DVD,20,112,0.0
DVD,벤앤홀리스,20,0,0.0
DVD,보스베이비DVD,20,96,4.8
DVD,브레이브걸스,5046000,610,0.0
DVD,블루레이테넷,20,101,5.05
DVD,블루스클루스,580,153,0.26
DVD,사랑의불시착블루레이,180,1,0.01
DVD,석양의무법자DVD,20,72,3.6
DVD,세계명작동화DVD,20,1129,56.45
DVD,셜록,24090,29305,1.22
DVD,슈퍼까이유,20,187,9.35
DVD,슈퍼와이DVD,120,246,2.05
DVD,스누피DVD,130,209,1.61
DVD,스콜라스틱DVD,170,787,4.63
DVD,스타워즈새로운희망DVD,20,17,0.85
DVD,스폰지밥DVD,210,435,2.07
DVD,시몽DVD,30,199,6.63
DVD,신비아파트고스트볼의비밀6,20,188,0.0
DVD,신비한동물사전3D블루레이,20,24,0.0
DVD,실미도DVD,20,9,0.45
DVD,아이유러브포엠,4290,32,0.01
DVD,아즈망가대왕DVD,40,2,0.05
DVD,악의꽃블루레이,350,967,2.76
DVD,안젤리나발레리나,200,454,2.27
DVD,안젤리나발레리나시즌DVD,20,183,0.0
DVD,어린신부,7920,1434,0.0
DVD,어벤져스1블루레이,20,262,13.1
DVD,에반게리온VOD,20,160,0.0
DVD,엑스파일DVD,20,206,10.3
DVD,연두비바바파파,90,445,4.94
DVD,영화모짜르트,60,17,0.0
DVD,영화시크릿가든DVD,20,31,0.0
DVD,영화인턴대본,2150,448,0.21
DVD,영화플란다스의개DVD,20,600,0.0
DVD,옥토넛카드,130,107,0.82
DVD,원초적본능무삭제,1080,3,0.0
DVD,유아영어노래CD,20,355,17.75
DVD,유포터블,11150,53,0.0
DVD,윤기원,80930,13,0.0
DVD,익스트림무비베놈블루레이,20,34,0.0
DVD,인크레더블DVD,30,579,19.3
DVD,지금만나러갑니다일본DVD,20,56,0.0
DVD,지브리애니메이션시리즈,60,685,11.42
DVD,지창욱팩,20,5,0.25
DVD,진짜로일어날지도몰라기적,1810,38,0.0
DVD,찰리미모DVD,20,107,0.0
DVD,초등학교5학년수학문제집,120,317,2.64
DVD,초등학교연산,230,988,4.3
DVD,치비갤러리,30,76,2.53
DVD,카우보이비밥DVD,70,78,1.11
DVD,캣BVB영상,20,5251,0.0
DVD,캣츠DVD,130,307,2.36
DVD,캣츠뮤지컬DVD,20,95,4.75
DVD,키키뮤직,1570,14903,9.49
DVD,타요동요CD,20,82,4.1
DVD,태민DVD,20,26,1.3
DVD,태양의후예블루레이,140,1,0.01
DVD,택시드라이버DVD,20,30,1.5
DVD,토이스타AK47,210,74,0.35
DVD,토토로DVD,50,319,6.38
DVD,퍼피구조대DVD,330,135,0.41
DVD,페이트스테이나이트헤븐즈필3장DVD,100,2,0.02
DVD,폭풍우치는밤에DVD,20,30,1.5
DVD,플러버디브이디,20,7,0.0
DVD,피너츠DVD,80,233,2.91
DVD,한국사DVD,40,1431,35.77
DVD,해리포터마법사의돌DVD,20,36,1.8
DVD,헬싱,4950,1514,0.31
DVD,호리드헨리DVD,240,247,1.03
DVD,효자동이발사,4040,20,0.0
DVD,007북경특급,1160,15,0.01
DVD,2019BTSMUSTERDVD,20,0,0.0
DVD,8월의크리스마스,19570,250,0.01
DVD,AK,24110,8832225,366.33
DVD,ALICEINWONDERLANDDVD,20,0,0.0
DVD,AMERICANACCENTTRAINING,160,0,0.0
DVD,ARTHURDVD,80,69634,870.42
DVD,BLENDEDDVD,20,0,0.0
DVD,BTSJAPANFANMEETINGDVD,20,0,0.0
DVD,BTSWINTERPACKAGE,840,0,0.0
DVD,DANIELTIGERDVD,20,0,0.0
DVD,DINOSAURTRAIN,50,14,0.28
DVD,DVD겨울왕국2,20,290,14.5
DVD,DVD영화,570,316612,555.46
DVD,DVD우리들,20,8151,407.55
DVD,DVD이토준지,20,3,0.0
DVD,DVD점박이-한반도의공룡2-새로운낙원,20,28,0.0
DVD,DVD크롤,20,84,0.0
DVD,EBS기초영독해,480,111,0.23
DVD,GUESSHOWMUCHILOVEYOUDVD,20,0,0.0
DVD,MAXANDRUBY,480,0,0.0
DVD,ONEIRICTHEATER,470,11,0.02
DVD,SCHOLASTICLEVELEDREADERS2단계6종세트,20,0,0.0
DVD,WINDOWSSERVER2016STDOEM교육,20,0,0.0
DVD,견자단정무문30부작,20,24,0.0
DVD,고양이밥2DVD,20,12375,0.0
DVD,고질라킹오브몬스터블루레이,30,47,1.57
DVD,공각기동대블루레이,20,121,6.05
DVD,국내TV드라마,20,6961,348.05
DVD,귀멸의칼날DVDUFOTABLE,20,99217,0.0
DVD,귀멸의칼날무한열차VOD,47700,18,0.0
DVD,그녀의사생활블루레이,20,587,29.35
DVD,그렌라간DVD,20,15,0.75
DVD,기억전달자DVD,20,38,0.0
DVD,김현형법,470,250,0.0
DVD,까이유더그레이트,80,67,0.84
DVD,까이유풀셋,20,667,33.35
DVD,남자의자격하모니DVD,20,12,0.0
DVD,납량특집DVD,20,774,0.0
DVD,내셔널지오그래픽키즈DVD,20,70,3.5
DVD,내이름은독도입니다DVD,20,10,0.0
DVD,노팅힐비디오,20,9,0.0
DVD,뉴까이유스페셜듀얼스토리북,20,16,0.0
DVD,뉴립프로그,40,620,15.5
DVD,뉴페파피그DVD,20,135,0.0
DVD,뉴형사가제트DVD,20,211,10.55
DVD,니모를찾아서DVD,30,152,5.07
DVD,다니엘타이거DVD,30,82,2.73
DVD,다웃파이어블루레이,20,4,0.0
DVD,데칼로그DVD,20,27,1.35
DVD,도깨비블루레이,270,9,0.03
DVD,도라DVD시간,20,0,0.0
DVD,돈꽃DVD,20,24,1.2
DVD,드래곤볼애니메이션DVD,20,349,0.0
DVD,들장미소녀캔디DVD,20,46,2.3
DVD,들장미소녀캔디책,40,91,2.27
DVD,디즈니공주DVD,30,490,16.33
DVD,디즈니카DVD,20,139,6.95
DVD,디즈니클래식블루레이,20,12,0.6
DVD,디지캐럿썸머,20,17,0.0
DVD,또봇카고,520,40,0.08
DVD,라라랜드블루레이,80,55,0.69
DVD,라야와마지막드래곤DVD,40,1,0.0
DVD,라이온킹블루레이,20,203,10.15
DVD,레미제라블뮤지컬25,20,58,0.0
DVD,레밍스,880,75,0.09
DVD,리딩파워기본변형,20,1,0.05
DVD,리틀포레스트DVD,50,45,0.9
DVD,마법의세계녹터나,100,27,0.27
DVD,마법천자문DVD,70,749,10.7
DVD,마이펫의이중생활,13140,1687,0.13
DVD,마징가ZDVD세트,20,469,0.0
DVD,만화영어DVD,20,339,16.95
DVD,매트릭스DVD,20,667,33.35
DVD,몽상가들DVD,20,16,0.8
DVD,미녀와야수DVD,50,688,13.76
DVD,미드웨이4K,20,85,4.25
DVD,미션파서블,518000,66,0.0
DVD,반지의제왕,164200,8891,0.05
DVD,배트21DVD,20,15,0.0
DVD,백발백중고1YBM,20,4,0.2
DVD,번스타인칼러DVD,20,554,0.0
DVD,보드맨에보쉐이드,20,0,0.0
DVD,봉주르뚜르,890,121,0.0
DVD,부호형사,9240,68,0.01
DVD,브레드이발소DVD,90,2,0.02
DVD,블랙핑크블루레이,40,98,2.45
DVD,블루레이해리포터,20,263,13.15
DVD,비디오여행,710,7789,10.97
DVD,비정성시,1350,35,0.03
DVD,뽀로로영어3차DVD,20,219,10.95
DVD,사라앤덕DVD,30,68,2.27
DVD,산딸기1,420,2514,5.99
DVD,상지원FAMOUSFUN,20,0,0.0
DVD,생활영어CD,30,9735,324.5
DVD,샤이니콘서트DVD,130,18,0.14
DVD,서태지25주년,350,23,0.07
DVD,선물공룡디보영어,100,85,0.85
DVD,성난황소DVD,20,35,1.75
DVD,세계명작극장DVD,20,50,2.5
DVD,세븐틴콘서트,1000,106,0.11
DVD,숲의선물DVD,20,16,0.0
거실가구,%EB%B6%80%EB%A5%B4%EB%B9%84%ED%81%AC,20,0,0.0
거실가구,거실장1800,720,81936,113.8
거실가구,베드쇼파,1810,830870,459.04
거실가구,자코모리클라이너,3010,292,0.1
거실가구,%EB%B9%97%EC%85%B0,20,0,0.0
거실가구,아쿠아소파,2830,37697,13.32
거실가구,이케아TV선반,1720,26562,15.44
거실가구,벤스가구,34230,2093,0.06
거실가구,폭좁은책상,2430,8733,3.59
거실가구,리클라이너1인용,310,101919,328.77
거실가구,4인용패브릭소파,1880,63911,34.0
거실가구,2인좌식쇼파,2020,14843,7.35
거실가구,대리석사이드테이블,1360,40889,30.07
거실가구,린지홈,7380,413,0.06
거실가구,막스앤쇼파,5730,4534,0.79
거실가구,템바보드거실장,1370,452,0.33
거실가구,1인용리클라이너의자,1440,68433,47.52
거실가구,미니거실장,1270,24018,18.91
거실가구,1인용소파베드,910,84163,92.49
거실가구,이케아티비선반,2290,26532,11.59
거실가구,소파스툴,3000,193804,64.6
거실가구,코너장식장,1400,17090,12.21
거실가구,야외빈백,2330,11336,4.87
거실가구,버즈쇼파,2330,2017,0.87
거실가구,빈백커버,1150,10935,9.51
거실가구,6인용소파,1190,23301,19.58
거실가구,원형협탁,1460,29815,20.42
거실가구,디자인벤처스거실장,2260,233,0.1
거실가구,마켓비테이블,1700,88367,51.98
거실가구,숙위홈소파,2010,82,0.04
거실가구,1인쇼파베드,970,84606,87.22
거실가구,벤치수납,840,90507,107.75
거실가구,현관협탁,570,7496,13.15
거실가구,웰퍼니쳐,3830,393,0.1
거실가구,히키스베드트레이,1350,3924,2.91
거실가구,3.5인쇼파,530,12737,24.03
거실가구,벤스소파,5560,369,0.07
거실가구,소파3인용,960,370320,385.75
거실가구,이케아쇼파테이블,1370,6201,4.53
거실가구,수납벤치쇼파,1060,35840,33.81
거실가구,1인체어,3070,560613,182.61
거실가구,로코코소파,6700,1905,0.28
거실가구,에보니아소파베드,680,2072,3.05
거실가구,좌식원형테이블,730,17937,24.57
거실가구,침대이동식테이블,1290,46063,35.71
건강관리용품,케어웰마스크,3370,862,0.26
건강관리용품,숨라이트마스크,1190,41,0.0
건강관리용품,퓨어라이프마스크,4070,1016,0.25
건강관리용품,굿킵스마스크,5280,228,0.04
건강관리용품,퓨리타스마스크,1340,332,0.25
건강관리용품,클린앤영마스크,1730,5,0.0
건강관리용품,찐마스크,2470,2712,1.1
건강관리용품,크린조이KF94마스크,1270,227,0.18
건강관리용품,새부리형마스크소형,2170,10456,4.82
건강관리용품,아이젠파라핀,2000,2211,1.11
건강관리용품,위넥스스타일러스,5910,92,0.02
건강관리용품,내추럴키스,730,1781,0.0
건강관리용품,워크라인새부리형,3900,79,0.02
건강관리용품,KF94마스크새부리형100매,1300,4061,3.12
건강관리용품,세이브원바이오마스크,1450,477,0.33
건강관리용품,유한킴벌리크린가드마스크,3500,4582,1.31
건강관리용품,베이프레소,7110,4061,0.57
건강관리용품,아스파이어AVP,5260,1860,0.35
건강관리용품,정전기방지팔찌,3160,13020,4.12
건강관리용품,바이코마스크,2270,493,0.22
건강관리용품,KF80새부리형소형,1610,1132,0.7
건강관리용품,에어퀸비말마스크소형,3740,461,0.12
건강관리용품,퓨리엔마스크,3310,2321,0.7
건강관리용품,건영마스크,6740,2256,0.33
건강관리용품,케이메딕마스크,3570,131,0.04
건강관리용품,닥터퓨리,12350,500,0.04
건강관리용품,얇은마스크,4700,14930,3.18
건강관리용품,플랜제로마스크,3730,269,0.07
건강관리용품,저스트포그코일,1540,808,0.52
건강관리용품,수성덴탈마스크,3810,708,0.19
건강관리용품,신비아파트마스크,2620,667,0.25
건강관리용품,아클린마스크,5770,57,0.01
건강관리용품,코로나천마스크,4470,359,0.08
건강관리용품,KF94패션마스크,4250,6222,1.46
건강관리용품,모나리자마스크,5000,3971,0.79
건강관리용품,코골이방지밴드,5140,3142,0.61
건강관리용품,저스트포그저스트원,2380,552,0.23
건강관리용품,다나에어숨,3060,33,0.01
건강관리용품,무니코틴액상,4890,28,0.01
건강측정용품,검안경,760,3526,4.64
건강측정용품,에코장터,320,871,2.72
건강측정용품,휴비딕300,210,720,3.43
건강측정용품,야마사만보기,240,1185,4.94
건강측정용품,KDT-100,80,170,2.12
건강측정용품,케어플러스손소독,70,2024,28.91
건강측정용품,카스디지털체중계,330,13610,41.24
건강측정용품,클래파체중계,320,535,1.67
건강측정용품,HE-66,90,771,8.57
건강측정용품,INOXPRAN체중계,580,50,0.09
건강측정용품,시티즌혈압계,430,629,1.46
건강측정용품,오므론7600,130,23,0.18
건강측정용품,오므론73207280T,20,0,0.0
건강측정용품,일동이지템,160,152,0.95
건강측정용품,자동손소독온도측정기,90,691,7.68
건강측정용품,체온계손소독제,150,443,2.95
건강측정용품,체온측정,2020,13537,6.7
건강측정용품,체온측정손소독,200,934,4.67
건강측정용품,피부적외선체온계,1120,1390,1.24
